Date,Start Time,Duration,Value,Edit Code,Flow Direction,TOU
3/18/2020,2:00 PM,60,2.33,Direct,,NoTOU
3/18/2020,3:00 PM,60,0.53,Direct,,NoTOU
3/18/2020,4:00 PM,60,0.16,Direct,,NoTOU
3/18/2020,5:00 PM,60,0.48,Direct,,NoTOU
3/18/2020,6:00 PM,60,0.42,Direct,,NoTOU
3/18/2020,7:00 PM,60,0.475,Direct,,NoTOU
3/18/2020,8:00 PM,60,0.52,Direct,,NoTOU
3/18/2020,9:00 PM,60,1.69,Direct,,NoTOU
3/18/2020,10:00 PM,60,0.54,Direct,,NoTOU
3/18/2020,11:00 PM,60,0.665,Direct,,NoTOU
3/19/2020,12:00 AM,60,0.18,Direct,,NoTOU
3/19/2020,1:00 AM,60,0.2,Direct,,NoTOU
3/19/2020,2:00 AM,60,0.2,Direct,,NoTOU
3/19/2020,3:00 AM,60,0.175,Direct,,NoTOU
3/19/2020,4:00 AM,60,0.17,Direct,,NoTOU
3/19/2020,5:00 AM,60,0.17,Direct,,NoTOU
3/19/2020,6:00 AM,60,0.18,Direct,,NoTOU
3/19/2020,7:00 AM,60,0.265,Direct,,NoTOU
3/19/2020,8:00 AM,60,0.145,Direct,,NoTOU
3/19/2020,9:00 AM,60,0.13,Direct,,NoTOU
3/19/2020,10:00 AM,60,0.365,Direct,,NoTOU
3/19/2020,11:00 AM,60,0.63,Direct,,NoTOU
3/19/2020,12:00 PM,60,0.31,Direct,,NoTOU
3/19/2020,1:00 PM,60,0.22,Direct,,NoTOU
3/19/2020,2:00 PM,60,0.905,Direct,,NoTOU
3/19/2020,3:00 PM,60,1.21,Direct,,NoTOU
3/19/2020,4:00 PM,60,0.255,Direct,,NoTOU
3/19/2020,5:00 PM,60,0.215,Direct,,NoTOU
3/19/2020,6:00 PM,60,0.265,Direct,,NoTOU
3/19/2020,7:00 PM,60,0.465,Direct,,NoTOU
3/19/2020,8:00 PM,60,1.52,Direct,,NoTOU
3/19/2020,9:00 PM,60,1.18,Direct,,NoTOU
3/19/2020,10:00 PM,60,0.84,Direct,,NoTOU
3/19/2020,11:00 PM,60,1.08,Direct,,NoTOU
3/20/2020,12:00 AM,60,0.195,Direct,,NoTOU
3/20/2020,1:00 AM,60,0.165,Direct,,NoTOU
3/20/2020,2:00 AM,60,0.175,Direct,,NoTOU
3/20/2020,3:00 AM,60,0.185,Direct,,NoTOU
3/20/2020,4:00 AM,60,0.165,Direct,,NoTOU
3/20/2020,5:00 AM,60,0.165,Direct,,NoTOU
3/20/2020,6:00 AM,60,0.18,Direct,,NoTOU
3/20/2020,7:00 AM,60,0.31,Direct,,NoTOU
3/20/2020,8:00 AM,60,0.19,Direct,,NoTOU
3/20/2020,9:00 AM,60,0.14,Direct,,NoTOU
3/20/2020,10:00 AM,60,0.13,Direct,,NoTOU
3/20/2020,11:00 AM,60,0.375,Direct,,NoTOU
3/20/2020,12:00 PM,60,0.22,Direct,,NoTOU
3/20/2020,1:00 PM,60,0.11,Direct,,NoTOU
3/20/2020,2:00 PM,60,0.475,Direct,,NoTOU
3/20/2020,3:00 PM,60,0.695,Direct,,NoTOU
3/20/2020,4:00 PM,60,0.265,Direct,,NoTOU
3/20/2020,5:00 PM,60,0.33,Direct,,NoTOU
3/20/2020,6:00 PM,60,0.16,Direct,,NoTOU
3/20/2020,7:00 PM,60,0.505,Direct,,NoTOU
3/20/2020,8:00 PM,60,0.605,Direct,,NoTOU
3/20/2020,9:00 PM,60,1.975,Direct,,NoTOU
3/20/2020,10:00 PM,60,1.055,Direct,,NoTOU
3/20/2020,11:00 PM,60,0.715,Direct,,NoTOU
3/21/2020,12:00 AM,60,0.36,Direct,,NoTOU
3/21/2020,1:00 AM,60,0.195,Direct,,NoTOU
3/21/2020,2:00 AM,60,0.215,Direct,,NoTOU
3/21/2020,3:00 AM,60,0.145,Direct,,NoTOU
3/21/2020,4:00 AM,60,0.175,Direct,,NoTOU
3/21/2020,5:00 AM,60,0.19,Direct,,NoTOU
3/21/2020,6:00 AM,60,0.16,Direct,,NoTOU
3/21/2020,7:00 AM,60,0.165,Direct,,NoTOU
3/21/2020,8:00 AM,60,0.135,Direct,,NoTOU
3/21/2020,9:00 AM,60,0.12,Direct,,NoTOU
3/21/2020,10:00 AM,60,0.145,Direct,,NoTOU
3/21/2020,11:00 AM,60,0.26,Direct,,NoTOU
3/21/2020,12:00 PM,60,0.515,Direct,,NoTOU
3/21/2020,1:00 PM,60,0.885,Direct,,NoTOU
3/21/2020,2:00 PM,60,2.34,Direct,,NoTOU
3/21/2020,3:00 PM,60,1.16,Direct,,NoTOU
3/21/2020,4:00 PM,60,0.185,Direct,,NoTOU
3/21/2020,5:00 PM,60,0.235,Direct,,NoTOU
3/21/2020,6:00 PM,60,0.2,Direct,,NoTOU
3/21/2020,7:00 PM,60,0.36,Direct,,NoTOU
3/21/2020,8:00 PM,60,0.4,Direct,,NoTOU
3/21/2020,9:00 PM,60,1.25,Direct,,NoTOU
3/21/2020,10:00 PM,60,0.655,Direct,,NoTOU
3/21/2020,11:00 PM,60,1.33,Direct,,NoTOU
3/22/2020,12:00 AM,60,0.235,Direct,,NoTOU
3/22/2020,1:00 AM,60,0.17,Direct,,NoTOU
3/22/2020,2:00 AM,60,0.185,Direct,,NoTOU
3/22/2020,3:00 AM,60,0.38,Direct,,NoTOU
3/22/2020,4:00 AM,60,0.19,Direct,,NoTOU
3/22/2020,5:00 AM,60,0.17,Direct,,NoTOU
3/22/2020,6:00 AM,60,0.17,Direct,,NoTOU
3/22/2020,7:00 AM,60,0.15,Direct,,NoTOU
3/22/2020,8:00 AM,60,0.135,Direct,,NoTOU
3/22/2020,9:00 AM,60,0.12,Direct,,NoTOU
3/22/2020,10:00 AM,60,0.125,Direct,,NoTOU
3/22/2020,11:00 AM,60,0.74,Direct,,NoTOU
3/22/2020,12:00 PM,60,0.415,Direct,,NoTOU
3/22/2020,1:00 PM,60,1.04,Direct,,NoTOU
3/22/2020,2:00 PM,60,1.815,Direct,,NoTOU
3/22/2020,3:00 PM,60,1.515,Direct,,NoTOU
3/22/2020,4:00 PM,60,0.195,Direct,,NoTOU
3/22/2020,5:00 PM,60,0.29,Direct,,NoTOU
3/22/2020,6:00 PM,60,0.515,Direct,,NoTOU
3/22/2020,7:00 PM,60,0.415,Direct,,NoTOU
3/22/2020,8:00 PM,60,0.335,Direct,,NoTOU
3/22/2020,9:00 PM,60,1.06,Direct,,NoTOU
3/22/2020,10:00 PM,60,0.82,Direct,,NoTOU
3/22/2020,11:00 PM,60,0.285,Direct,,NoTOU
3/23/2020,12:00 AM,60,0.76,Direct,,NoTOU
3/23/2020,1:00 AM,60,0.22,Direct,,NoTOU
3/23/2020,2:00 AM,60,0.155,Direct,,NoTOU
3/23/2020,3:00 AM,60,0.155,Direct,,NoTOU
3/23/2020,4:00 AM,60,0.16,Direct,,NoTOU
3/23/2020,5:00 AM,60,0.155,Direct,,NoTOU
3/23/2020,6:00 AM,60,0.13,Direct,,NoTOU
3/23/2020,7:00 AM,60,0.395,Direct,,NoTOU
3/23/2020,8:00 AM,60,0.125,Direct,,NoTOU
3/23/2020,9:00 AM,60,0.13,Direct,,NoTOU
3/23/2020,10:00 AM,60,0.12,Direct,,NoTOU
3/23/2020,11:00 AM,60,0.725,Direct,,NoTOU
3/23/2020,12:00 PM,60,0.785,Direct,,NoTOU
3/23/2020,1:00 PM,60,0.175,Direct,,NoTOU
3/23/2020,2:00 PM,60,0.43,Direct,,NoTOU
3/23/2020,3:00 PM,60,0.665,Direct,,NoTOU
3/23/2020,4:00 PM,60,0.305,Direct,,NoTOU
3/23/2020,5:00 PM,60,0.18,Direct,,NoTOU
3/23/2020,6:00 PM,60,0.38,Direct,,NoTOU
3/23/2020,7:00 PM,60,0.68,Direct,,NoTOU
3/23/2020,8:00 PM,60,0.645,Direct,,NoTOU
3/23/2020,9:00 PM,60,0.815,Direct,,NoTOU
3/23/2020,10:00 PM,60,0.515,Direct,,NoTOU
3/23/2020,11:00 PM,60,0.645,Direct,,NoTOU
3/24/2020,12:00 AM,60,0.815,Direct,,NoTOU
3/24/2020,1:00 AM,60,0.205,Direct,,NoTOU
3/24/2020,2:00 AM,60,0.17,Direct,,NoTOU
3/24/2020,3:00 AM,60,0.2,Direct,,NoTOU
3/24/2020,4:00 AM,60,0.185,Direct,,NoTOU
3/24/2020,5:00 AM,60,0.18,Direct,,NoTOU
3/24/2020,6:00 AM,60,0.2,Direct,,NoTOU
3/24/2020,7:00 AM,60,0.195,Direct,,NoTOU
3/24/2020,8:00 AM,60,0.25,Direct,,NoTOU
3/24/2020,9:00 AM,60,0.125,Direct,,NoTOU
3/24/2020,10:00 AM,60,0.13,Direct,,NoTOU
3/24/2020,11:00 AM,60,0.375,Direct,,NoTOU
3/24/2020,12:00 PM,60,0.5,Direct,,NoTOU
3/24/2020,1:00 PM,60,0.67,Direct,,NoTOU
3/24/2020,2:00 PM,60,1.625,Direct,,NoTOU
3/24/2020,3:00 PM,60,0.835,Direct,,NoTOU
3/24/2020,4:00 PM,60,0.17,Direct,,NoTOU
3/24/2020,5:00 PM,60,0.195,Direct,,NoTOU
3/24/2020,6:00 PM,60,0.17,Direct,,NoTOU
3/24/2020,7:00 PM,60,0.505,Direct,,NoTOU
3/24/2020,8:00 PM,60,0.38,Direct,,NoTOU
3/24/2020,9:00 PM,60,1.055,Direct,,NoTOU
3/24/2020,10:00 PM,60,0.485,Direct,,NoTOU
3/24/2020,11:00 PM,60,0.36,Direct,,NoTOU
3/25/2020,12:00 AM,60,0.21,Direct,,NoTOU
3/25/2020,1:00 AM,60,0.18,Direct,,NoTOU
3/25/2020,2:00 AM,60,0.15,Direct,,NoTOU
3/25/2020,3:00 AM,60,0.2,Direct,,NoTOU
3/25/2020,4:00 AM,60,0.17,Direct,,NoTOU
3/25/2020,5:00 AM,60,0.17,Direct,,NoTOU
3/25/2020,6:00 AM,60,0.16,Direct,,NoTOU
3/25/2020,7:00 AM,60,0.305,Direct,,NoTOU
3/25/2020,8:00 AM,60,0.185,Direct,,NoTOU
3/25/2020,9:00 AM,60,0.165,Direct,,NoTOU
3/25/2020,10:00 AM,60,0.155,Direct,,NoTOU
3/25/2020,11:00 AM,60,0.64,Direct,,NoTOU
3/25/2020,12:00 PM,60,0.15,Direct,,NoTOU
3/25/2020,1:00 PM,60,0.385,Direct,,NoTOU
3/25/2020,2:00 PM,60,0.895,Direct,,NoTOU
3/25/2020,3:00 PM,60,1.6,Direct,,NoTOU
3/25/2020,4:00 PM,60,0.32,Direct,,NoTOU
3/25/2020,5:00 PM,60,0.175,Direct,,NoTOU
3/25/2020,6:00 PM,60,0.19,Direct,,NoTOU
3/25/2020,7:00 PM,60,0.52,Direct,,NoTOU
3/25/2020,8:00 PM,60,0.915,Direct,,NoTOU
3/25/2020,9:00 PM,60,0.675,Direct,,NoTOU
3/25/2020,10:00 PM,60,0.365,Direct,,NoTOU
3/25/2020,11:00 PM,60,0.22,Direct,,NoTOU
